model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.8729 ± 0.0106,0.8975 ± 0.0086,1.8430 ± 0.1577,0.2441 ± 0.0184,0.1230 ± 0.0098,-551.0694 ± 47.1448,0.0053 ± 0.0032
base,test,0.8659 ± 0.0064,0.8663 ± 0.0066,2.0748 ± 0.0509,0.2611 ± 0.0131,0.1305 ± 0.0064,-2431.6948 ± 59.7100,0.0043 ± 0.0016
base_de(2),test,0.8715 ± 0.0054,0.8721 ± 0.0055,1.6822 ± 0.0857,0.2323 ± 0.0100,0.1011 ± 0.0116,-1971.4963 ± 100.4752,0.0301 ± 0.0078
base_temperature,val,0.8729 ± 0.0106,0.8975 ± 0.0086,0.4588 ± 0.0366,0.2060 ± 0.0176,0.0474 ± 0.0241,-137.1789 ± 10.9460,0.1117 ± 0.0120
base_temperature,test,0.8659 ± 0.0064,0.8663 ± 0.0066,0.4961 ± 0.0130,0.2230 ± 0.0081,0.0435 ± 0.0104,-581.4734 ± 15.2194,0.1076 ± 0.0085
duo,val,0.8749 ± 0.0162,0.8991 ± 0.0131,0.4360 ± 0.0148,0.2022 ± 0.0139,0.0429 ± 0.0181,-130.3655 ± 4.4372,0.1113 ± 0.0109
duo,test,0.8679 ± 0.0049,0.8683 ± 0.0053,0.4696 ± 0.0126,0.2150 ± 0.0077,0.0348 ± 0.0063,-550.3780 ± 14.7735,0.1039 ± 0.0078
sidekick,val,0.6856 ± 0.0183,0.7091 ± 0.1180,4.8453 ± 0.5073,0.6203 ± 0.0387,0.3108 ± 0.0198,-1448.7483 ± 151.6908,0.0068 ± 0.0026
sidekick,test,0.7154 ± 0.0112,0.7145 ± 0.0112,4.2343 ± 0.0576,0.5597 ± 0.0199,0.2773 ± 0.0119,-4962.6478 ± 67.4587,0.0086 ± 0.0012
sidekick_de(2),test,0.7217 ± 0.0064,0.7209 ± 0.0061,3.4399 ± 0.0531,0.4951 ± 0.0100,0.2114 ± 0.0076,-4031.5271 ± 62.2133,0.0675 ± 0.0040
sidekick_temperature,val,0.6856 ± 0.0183,0.7091 ± 0.1180,0.9813 ± 0.0502,0.4807 ± 0.0262,0.0491 ± 0.0109,-293.3990 ± 15.0246,0.2964 ± 0.0194
sidekick_temperature,test,0.7154 ± 0.0112,0.7145 ± 0.0112,0.9112 ± 0.0206,0.4404 ± 0.0110,0.0471 ± 0.0133,-1067.8754 ± 24.1509,0.2995 ± 0.0257
