,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,obqa,base,val,0.918,0.9179207504184306,0.8872537016868591,-443.6268615722656,0.1624009609222412,0.083066556930542,0.0032851696014404297
1,2,obqa,sidekick,test,0.642,0.6415779079094401,2.807657480239868,-1403.8287353515625,0.6678383946418762,0.31765024906396866,0.040349721908569336
2,3,obqa,duo,val,0.922,0.9221567782668327,0.519137533584951,-259.56876679247546,0.1445999364125751,0.06400274593997314,0.022650723602999023
3,4,obqa,base,test,0.91,0.9100072873806828,0.9699435830116272,-484.9718017578125,0.17366620898246765,0.08617984056472783,0.005436062812805176
4,5,obqa,sidekick,val,0.666,0.6625082489499046,2.6002485752105713,-1300.124267578125,0.6322128772735596,0.30719196045398706,0.03689920902252197
5,1,obqa,duo,test,0.896,0.8966431283210168,0.6981101806369975,-349.05509031849874,0.18946784142425077,0.08107269537228619,0.03145539974788125
6,2,obqa,base,val,0.92,0.9201862834987702,1.0588635206222534,-529.4317626953125,0.15703530609607697,0.07990553486347199,0.0022486448287963867
7,3,obqa,sidekick,test,0.642,0.6415779079094401,2.807657480239868,-1403.8287353515625,0.6678383946418762,0.31765024906396866,0.040349721908569336
8,4,obqa,duo,val,0.904,0.9040849673202613,0.6173249566868619,-308.66247834343096,0.17048630169384302,0.07811275799438745,0.026017659690673267
9,5,obqa,base,test,0.908,0.9070761710947198,0.9927698969841003,-496.38494873046875,0.17818206548690796,0.09071315491199497,0.004592299461364746
10,1,obqa,sidekick,val,0.666,0.6625082489499046,2.6002485752105713,-1300.124267578125,0.6322128772735596,0.30719196045398706,0.03689920902252197
11,2,obqa,duo,test,0.894,0.8945193627463368,0.6887963239228044,-344.3981619614022,0.1912823680740357,0.08519686803297072,0.031784551399149485
12,3,obqa,base,val,0.922,0.921614368846084,0.7049272656440735,-352.463623046875,0.14611990749835968,0.07587384700775145,0.0052648186683654785
13,4,obqa,sidekick,test,0.642,0.6415779079094401,2.807657480239868,-1403.8287353515625,0.6678383946418762,0.31765024906396866,0.040349721908569336
14,5,obqa,duo,val,0.908,0.9079689991129707,0.6532961540874552,-326.6480770437276,0.17033106551028573,0.07355618849746853,0.023047906719938727
15,1,obqa,base,test,0.898,0.8987180791288847,0.9812505841255188,-490.62530517578125,0.19617341458797455,0.09792412042617796,0.004075884819030762
16,2,obqa,sidekick,val,0.666,0.6625082489499046,2.6002485752105713,-1300.124267578125,0.6322128772735596,0.30719196045398706,0.03689920902252197
17,3,obqa,duo,test,0.918,0.9169692496008681,0.5514521638887347,-275.72608194436737,0.15089484659103913,0.0641192409695032,0.024945494461818818
18,4,obqa,base,val,0.914,0.914119778346121,0.9695010781288147,-484.75054931640625,0.1649860292673111,0.08340100562572478,0.002599000930786133
19,5,obqa,sidekick,test,0.642,0.6415779079094401,2.807657480239868,-1403.8287353515625,0.6678383946418762,0.31765024906396866,0.040349721908569336
20,1,obqa,duo,val,0.906,0.9058059138077396,0.6029488119443545,-301.47440597217724,0.17249581579324041,0.07426589658792333,0.02796634902444861
21,2,obqa,base,test,0.904,0.903742920764527,1.0813630819320679,-540.6815185546875,0.18206095695495605,0.09094536930322644,0.005646884441375732
22,3,obqa,sidekick,val,0.666,0.6625082489499046,2.6002485752105713,-1300.124267578125,0.6322128772735596,0.30719196045398706,0.03689920902252197
23,4,obqa,duo,test,0.902,0.9023608732911255,0.6699590027507125,-334.9795013753563,0.18387834892785743,0.07984771581237665,0.02717125019118638
24,5,obqa,base,val,0.914,0.9141869227376505,0.9056953191757202,-452.84765625,0.16629959642887115,0.08423475289344791,0.0035268664360046387
25,1,obqa,sidekick,test,0.642,0.6415779079094401,2.807657480239868,-1403.8287353515625,0.6678383946418762,0.31765024906396866,0.040349721908569336
26,2,obqa,duo,val,0.894,0.8938003587900967,0.6794275646357214,-339.7137823178607,0.19406154666143877,0.09001697115981988,0.02211418877944249
27,3,obqa,base,test,0.918,0.9170390286110149,0.7526468634605408,-376.32342529296875,0.15948419272899628,0.08156378883123397,0.006064057350158691
28,4,obqa,sidekick,val,0.666,0.6625082489499046,2.6002485752105713,-1300.124267578125,0.6322128772735596,0.30719196045398706,0.03689920902252197
29,5,obqa,duo,test,0.908,0.9072391263690599,0.6618002141805901,-330.900107090295,0.17992615781047908,0.08449228018241138,0.02564941942058796
