,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,obqa,base_temperature,val,0.914,0.9142724418165065,0.3183346688747406,-159.16732788085938,0.1403239369392395,0.03048807078599932,0.0761483907699585
1,2,obqa,sidekick_temperature,test,0.804,0.8011063719805248,0.6052500605583191,-302.6250305175781,0.2983037829399109,0.07539385592937468,0.1748376488685608
2,3,obqa,base,val,0.924,0.9241438620535043,0.7751249074935913,-387.56243896484375,0.14653247594833374,0.07261188280582428,0.004155993461608887
3,4,obqa,sidekick,test,0.798,0.7967708666630064,1.5076935291290283,-753.8467407226562,0.3769318759441376,0.18651850199699402,0.01783043146133423
4,5,obqa,duo,val,0.918,0.918059332483652,0.29336780309677124,-146.68389892578125,0.1346600353717804,0.012069278419017782,0.07585620880126953
5,1,obqa,base_temperature,test,0.904,0.9031031528890626,0.3392174243927002,-169.6087188720703,0.15797802805900574,0.04700582063198086,0.08344322443008423
6,2,obqa,sidekick_temperature,val,0.81,0.8081530261927541,0.621292233467102,-310.6461181640625,0.3029846251010895,0.03385489058494565,0.18149316310882568
7,3,obqa,base,test,0.902,0.9005354884869726,1.0100630521774292,-505.03155517578125,0.19184747338294983,0.09580105519294738,0.00408095121383667
8,4,obqa,sidekick,val,0.83,0.828830704171392,1.3923430442810059,-696.1715087890625,0.3287391662597656,0.16576166713237758,0.015501439571380615
9,5,obqa,duo,test,0.908,0.9070211264112457,0.2915440797805786,-145.77203369140625,0.13991864025592804,0.03791118192672731,0.08316391706466675
10,1,obqa,base_temperature,val,0.914,0.9142724418165065,0.3183346688747406,-159.16732788085938,0.1403239369392395,0.03048807078599932,0.0761483907699585
11,2,obqa,sidekick_temperature,test,0.804,0.8011063719805248,0.6052500605583191,-302.6250305175781,0.2983037829399109,0.07539385592937468,0.1748376488685608
12,3,obqa,base,val,0.924,0.9241438620535043,0.7751249074935913,-387.56243896484375,0.14653247594833374,0.07261188280582428,0.004155993461608887
13,4,obqa,sidekick,test,0.798,0.7967708666630064,1.5076935291290283,-753.8467407226562,0.3769318759441376,0.18651850199699402,0.01783043146133423
14,5,obqa,duo,val,0.918,0.918059332483652,0.29336780309677124,-146.68389892578125,0.1346600353717804,0.012069278419017782,0.07585620880126953
15,1,obqa,base_temperature,test,0.904,0.9031031528890626,0.3392174243927002,-169.6087188720703,0.15797802805900574,0.04700582063198086,0.08344322443008423
16,2,obqa,sidekick_temperature,val,0.81,0.8081530261927541,0.621292233467102,-310.6461181640625,0.3029846251010895,0.03385489058494565,0.18149316310882568
17,3,obqa,base,test,0.902,0.9005354884869726,1.0100630521774292,-505.03155517578125,0.19184747338294983,0.09580105519294738,0.00408095121383667
18,4,obqa,sidekick,val,0.83,0.828830704171392,1.3923430442810059,-696.1715087890625,0.3287391662597656,0.16576166713237758,0.015501439571380615
19,5,obqa,duo,test,0.908,0.9070211264112457,0.2915440797805786,-145.77203369140625,0.13991864025592804,0.03791118192672731,0.08316391706466675
20,1,obqa,base_temperature,val,0.914,0.9142724418165065,0.3183346688747406,-159.16732788085938,0.1403239369392395,0.03048807078599932,0.0761483907699585
21,2,obqa,sidekick_temperature,test,0.804,0.8011063719805248,0.6052500605583191,-302.6250305175781,0.2983037829399109,0.07539385592937468,0.1748376488685608
22,3,obqa,base,val,0.924,0.9241438620535043,0.7751249074935913,-387.56243896484375,0.14653247594833374,0.07261188280582428,0.004155993461608887
23,4,obqa,sidekick,test,0.798,0.7967708666630064,1.5076935291290283,-753.8467407226562,0.3769318759441376,0.18651850199699402,0.01783043146133423
24,5,obqa,duo,val,0.918,0.918059332483652,0.29336780309677124,-146.68389892578125,0.1346600353717804,0.012069278419017782,0.07585620880126953
25,1,obqa,base_temperature,test,0.904,0.9031031528890626,0.3392174243927002,-169.6087188720703,0.15797802805900574,0.04700582063198086,0.08344322443008423
26,2,obqa,sidekick_temperature,val,0.81,0.8081530261927541,0.621292233467102,-310.6461181640625,0.3029846251010895,0.03385489058494565,0.18149316310882568
27,3,obqa,base,test,0.902,0.9005354884869726,1.0100630521774292,-505.03155517578125,0.19184747338294983,0.09580105519294738,0.00408095121383667
28,4,obqa,sidekick,val,0.83,0.828830704171392,1.3923430442810059,-696.1715087890625,0.3287391662597656,0.16576166713237758,0.015501439571380615
29,5,obqa,duo,test,0.908,0.9070211264112457,0.2915440797805786,-145.77203369140625,0.13991864025592804,0.03791118192672731,0.08316391706466675
30,1,obqa,base_temperature,val,0.914,0.9142724418165065,0.3183346688747406,-159.16732788085938,0.1403239369392395,0.03048807078599932,0.0761483907699585
31,2,obqa,sidekick_temperature,test,0.804,0.8011063719805248,0.6052500605583191,-302.6250305175781,0.2983037829399109,0.07539385592937468,0.1748376488685608
32,3,obqa,base,val,0.924,0.9241438620535043,0.7751249074935913,-387.56243896484375,0.14653247594833374,0.07261188280582428,0.004155993461608887
33,4,obqa,sidekick,test,0.798,0.7967708666630064,1.5076935291290283,-753.8467407226562,0.3769318759441376,0.18651850199699402,0.01783043146133423
34,5,obqa,duo,val,0.918,0.918059332483652,0.29336780309677124,-146.68389892578125,0.1346600353717804,0.012069278419017782,0.07585620880126953
35,1,obqa,base_temperature,test,0.904,0.9031031528890626,0.3392174243927002,-169.6087188720703,0.15797802805900574,0.04700582063198086,0.08344322443008423
36,2,obqa,sidekick_temperature,val,0.81,0.8081530261927541,0.621292233467102,-310.6461181640625,0.3029846251010895,0.03385489058494565,0.18149316310882568
37,3,obqa,base,test,0.902,0.9005354884869726,1.0100630521774292,-505.03155517578125,0.19184747338294983,0.09580105519294738,0.00408095121383667
38,4,obqa,sidekick,val,0.83,0.828830704171392,1.3923430442810059,-696.1715087890625,0.3287391662597656,0.16576166713237758,0.015501439571380615
39,5,obqa,duo,test,0.908,0.9070211264112457,0.2915440797805786,-145.77203369140625,0.13991864025592804,0.03791118192672731,0.08316391706466675
40,1,obqa,base_temperature,val,0.914,0.9142724418165065,0.3183346688747406,-159.16732788085938,0.1403239369392395,0.03048807078599932,0.0761483907699585
41,2,obqa,sidekick_temperature,test,0.804,0.8011063719805248,0.6052500605583191,-302.6250305175781,0.2983037829399109,0.07539385592937468,0.1748376488685608
42,3,obqa,base,val,0.924,0.9241438620535043,0.7751249074935913,-387.56243896484375,0.14653247594833374,0.07261188280582428,0.004155993461608887
43,4,obqa,sidekick,test,0.798,0.7967708666630064,1.5076935291290283,-753.8467407226562,0.3769318759441376,0.18651850199699402,0.01783043146133423
44,5,obqa,duo,val,0.918,0.918059332483652,0.29336780309677124,-146.68389892578125,0.1346600353717804,0.012069278419017782,0.07585620880126953
45,1,obqa,base_temperature,test,0.904,0.9031031528890626,0.3392174243927002,-169.6087188720703,0.15797802805900574,0.04700582063198086,0.08344322443008423
46,2,obqa,sidekick_temperature,val,0.81,0.8081530261927541,0.621292233467102,-310.6461181640625,0.3029846251010895,0.03385489058494565,0.18149316310882568
47,3,obqa,base,test,0.902,0.9005354884869726,1.0100630521774292,-505.03155517578125,0.19184747338294983,0.09580105519294738,0.00408095121383667
48,4,obqa,sidekick,val,0.83,0.828830704171392,1.3923430442810059,-696.1715087890625,0.3287391662597656,0.16576166713237758,0.015501439571380615
49,5,obqa,duo,test,0.908,0.9070211264112457,0.2915440797805786,-145.77203369140625,0.13991864025592804,0.03791118192672731,0.08316391706466675
