model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.9240 ± 0.0000,0.9241 ± 0.0000,0.7751 ± 0.0000,0.1465 ± 0.0000,0.0726 ± 0.0000,-387.5624 ± 0.0000,0.0042 ± 0.0000
base,test,0.9020 ± 0.0000,0.9005 ± 0.0000,1.0101 ± 0.0000,0.1918 ± 0.0000,0.0958 ± 0.0000,-505.0316 ± 0.0000,0.0041 ± 0.0000
base_de(2),test,0.9020 ± 0.0039,0.9015 ± 0.0043,0.7499 ± 0.0673,0.1652 ± 0.0079,0.0714 ± 0.0027,-374.9744 ± 33.6522,0.0299 ± 0.0055
base_temperature,val,0.9140 ± 0.0000,0.9143 ± 0.0000,0.3183 ± 0.0000,0.1403 ± 0.0000,0.0305 ± 0.0000,-159.1673 ± 0.0000,0.0761 ± 0.0000
base_temperature,test,0.9040 ± 0.0000,0.9031 ± 0.0000,0.3392 ± 0.0000,0.1580 ± 0.0000,0.0470 ± 0.0000,-169.6087 ± 0.0000,0.0834 ± 0.0000
duo,val,0.9180 ± 0.0000,0.9181 ± 0.0000,0.2934 ± 0.0000,0.1347 ± 0.0000,0.0121 ± 0.0000,-146.6839 ± 0.0000,0.0759 ± 0.0000
duo,test,0.9080 ± 0.0000,0.9070 ± 0.0000,0.2915 ± 0.0000,0.1399 ± 0.0000,0.0379 ± 0.0000,-145.7720 ± 0.0000,0.0832 ± 0.0000
sidekick,val,0.8300 ± 0.0000,0.8288 ± 0.0000,1.3923 ± 0.0000,0.3287 ± 0.0000,0.1658 ± 0.0000,-696.1715 ± 0.0000,0.0155 ± 0.0000
sidekick,test,0.7980 ± 0.0000,0.7968 ± 0.0000,1.5077 ± 0.0000,0.3769 ± 0.0000,0.1865 ± 0.0000,-753.8467 ± 0.0000,0.0178 ± 0.0000
sidekick_de(2),test,0.8132 ± 0.0038,0.8119 ± 0.0034,1.1903 ± 0.0775,0.3251 ± 0.0121,0.1297 ± 0.0128,-595.1378 ± 38.7736,0.0593 ± 0.0115
sidekick_temperature,val,0.8100 ± 0.0000,0.8082 ± 0.0000,0.6213 ± 0.0000,0.3030 ± 0.0000,0.0339 ± 0.0000,-310.6461 ± 0.0000,0.1815 ± 0.0000
sidekick_temperature,test,0.8040 ± 0.0000,0.8011 ± 0.0000,0.6053 ± 0.0000,0.2983 ± 0.0000,0.0754 ± 0.0000,-302.6250 ± 0.0000,0.1748 ± 0.0000
