model,split,metric,mean,ci_low,ci_high,n
base,val,accuracy,0.9176,0.9131576878316835,0.9220423121683164,5
base,val,f1_macro,0.9176056207694113,0.9133644801546972,0.9218467613841255,5
base,val,nll,0.9052481770515441,0.7431425606673573,1.0673537934357311,5
base,val,lppd,-452.62409057617185,-533.676905398579,-371.5712757537647,5
base,val,brier,0.15936836004257202,0.14917155498111817,0.16956516510402586,5
base,val,ece,0.08129633946418763,0.07701595945965752,0.08557671946871774,5
base,val,mean_uncertainty,0.003384900093078613,0.0019325103725147024,0.004837289813642524,5
base,test,accuracy,0.9076000000000001,0.8984083311772532,0.916791668822747,5
base,test,f1_macro,0.9073166973959659,0.8987923108006558,0.915841083991276,5
base,test,nll,0.955594801902771,0.8044740140365835,1.1067155897689585,5
base,test,lppd,-477.7973999023437,-553.3577912344282,-402.23700857025926,5
base,test,brier,0.1779133677482605,0.16138970681098477,0.19443702868553622,5
base,test,ece,0.08946525480747222,0.08189905950831555,0.09703145010662889,5
base,test,mean_uncertainty,0.005163037776947021,0.004156575408607487,0.006169500145286555,5
sidekick,val,accuracy,0.8160000000000001,0.816,0.8160000000000002,5
sidekick,val,f1_macro,0.8143491296664236,0.8143491296664235,0.8143491296664237,5
sidekick,val,nll,1.475460171699524,1.475460171699524,1.475460171699524,5
sidekick,val,lppd,-737.7301025390625,-737.7301025390625,-737.7301025390625,5
sidekick,val,brier,0.3517964482307434,0.3517964482307434,0.3517964482307434,5
sidekick,val,ece,0.17407543909549708,0.17407543909549708,0.17407543909549708,5
sidekick,val,mean_uncertainty,0.015874862670898438,0.015874862670898438,0.015874862670898438,5
sidekick,test,accuracy,0.8019999999999999,0.8019999999999998,0.802,5
sidekick,test,f1_macro,0.8010733973512008,0.8010733973512008,0.8010733973512008,5
sidekick,test,nll,1.5301809310913086,1.5301809310913086,1.5301809310913086,5
sidekick,test,lppd,-765.0904541015625,-765.0904541015625,-765.0904541015625,5
sidekick,test,brier,0.3733047842979431,0.3733047842979431,0.3733047842979431,5
sidekick,test,ece,0.1869377543926239,0.1869377543926239,0.1869377543926239,5
sidekick,test,mean_uncertainty,0.020399093627929688,0.020399093627929688,0.020399093627929688,5
duo,val,accuracy,0.9204000000000001,0.9144711356698668,0.9263288643301334,5
duo,val,f1_macro,0.9203402207878678,0.9145022070716757,0.9261782345040599,5
duo,val,nll,0.2660747796297073,0.2481201427079885,0.28402941655142616,5
duo,val,lppd,-133.03739318847656,-142.01471517295468,-124.06007120399845,5
duo,val,brier,0.1274084970355034,0.11713093308105474,0.13768606098995204,5
duo,val,ece,0.02369797681570052,0.01888173033980808,0.02851422329159296,5
duo,val,mean_uncertainty,0.07415239810943604,0.06962472159585195,0.07868007462302012,5
duo,test,accuracy,0.9103999999999999,0.9047371408920708,0.916062859107929,5
duo,test,f1_macro,0.9101179473719675,0.9051704279274924,0.9150654668164426,5
duo,test,nll,0.30122954249382017,0.28551780618417477,0.31694127880346556,5
duo,test,lppd,-150.6147705078125,-158.47063823412853,-142.75890278149646,5
duo,test,brier,0.1425219804048538,0.13399844375448414,0.15104551705522348,5
duo,test,ece,0.025238795816898328,0.01589125222570041,0.034586339408096245,5
duo,test,mean_uncertainty,0.0796467423439026,0.07185808935822774,0.08743539532957745,5
base_de(2),test,accuracy,0.9099999999999999,0.8982205410311346,0.9217794589688653,5
base_de(2),test,f1_macro,0.9100434707514191,0.8980263196377234,0.9220606218651148,5
base_de(2),test,nll,0.7921532273292542,0.7049335955272014,0.879372859131307,5
base_de(2),test,lppd,-396.0766174316406,-439.6864409219667,-352.4667939413145,5
base_de(2),test,brier,0.16008664071559905,0.14730484751411033,0.17286843391708778,5
base_de(2),test,ece,0.07404929994344712,0.06508966123450054,0.08300893865239371,5
base_de(2),test,mean_uncertainty,0.022672665119171143,0.019821381913515766,0.02552394832482652,5
sidekick_de(2),test,accuracy,0.8019999999999999,0.8019999999999998,0.802,5
sidekick_de(2),test,f1_macro,0.8010733973512008,0.8010733973512008,0.8010733973512008,5
sidekick_de(2),test,nll,1.5301809310913086,1.5301809310913086,1.5301809310913086,5
sidekick_de(2),test,lppd,-765.0904541015625,-765.0904541015625,-765.0904541015625,5
sidekick_de(2),test,brier,0.3733047842979431,0.3733047842979431,0.3733047842979431,5
sidekick_de(2),test,ece,0.1869377543926239,0.1869377543926239,0.1869377543926239,5
sidekick_de(2),test,mean_uncertainty,0.020399093627929688,0.020399093627929688,0.020399093627929688,5
